Parameter pRampRate(sResources)/
'NUM-I_LOSTNATN_59_22CT'        6
'NUM-I_MERIMACK_78_22CT'        8
'NUM-I_MERIMACK_79_22CT'        8
'NUM-I_MERIMACK_84_01Steam'     1.5
'NUM-I_MERIMACK_85_01Steam'     4
'NUM-I_NEWINGTN_3_98Steam'      3
'NUM-I_NORTH_RD_32_04Steam'     3
'NUM-I_OAK_HILL_59_04Steam'     3
'NUM-I_PEMIGWAS_27_41Hydro'     9
'NUM-I_RESITNCE_53_96CT'        6
'NUM-I_SCHILLER_50_01Steam'     1
'NUM-I_SCHILLER_51_01Steam'     0.2
'NUM-I_SCHILLER_52_01Steam'     1
'NUM-I_SECREC_56_04Steam'       3
'NUM-I_SMITH_HY_64_41Hydro'     1
'NUM-I_S_MEADOW_74_04Steam'     2
'NUM-I_S_MEADOW_75_04Steam'     3
'NUM-I_TAMWORTH_86_04Steam'     2
'NUM-I_THAMES_88_04Steam'       3
'NUM-I_WALREC_17_04Steam'       2
'NUM-I_WEBSTER_3_41Hydro'       7
'NUM-I_WHITEFLD_34_04Steam'     3
'NUM-I_WHITE_LK_13_22CT'        5
'NUM-I_W_SPRFLD_1_04Steam'      2
'PGET-I_ALTRESCO_23_99Steam'    0.5
'PGET-I_BEARSWMP_55_27CT'       25
'PGET-I_BEARSWMP_56_27CT'       25
'PGET-I_BRAYTNPT_46_01Steam'    2.5
'PGET-I_BRAYTNPT_47_01Steam'    2.5
'PGET-I_BRAYTNPT_48_01Steam'    5
'PGET-I_BRAYTNPT_49_98Steam'    3
'PGET-I_BRAYTNPT_50_31Diesel'   1.8
'PGET-I_COMERFRD_68_41Hydro'    25
'PGET-I_COMERFRD_76_27CT'       25
'PGET-I_DEERFLD5_89_41Hydro'    25
'PGET-I_DEERFLD5_9_41Hydro'     25
'PGET-I_FRNKLNSQ_18_99Steam'    5
'PGET-I_FRNKLNSQ_19_99Steam'    5
'PGET-I_FRNKLNSQ_20_99Steam'    5
'PGET-I_HARRIMAN_31_41Hydro'    25
'PGET-I_JOHNSTON_46_04Steam'    1
'PGET-I_LAKE_RD_29_98Steam'     7
'PGET-I_LAKE_RD_30_99Steam'     7
'PGET-I_LAKE_RD_31_99Steam'     3.75
'PGET-I_LOWRDFLD_60_41Hydro'    6
'PGET-I_MILLBURY_18_04Steam'    1
'PGET-I_MILLENUM_2_98Steam'     4
'PGET-I_MOORE_91_27CT'  25
'PGET-I_PONTOOK_34_41Hydro'     1
'PGET-I_RESCOS_41_04Steam'      1
'PGET-I_SALEM_45_01Steam'       1.5
'PGET-I_SALEM_46_01Steam'       1
'PGET-I_SALEM_47_01Steam'       1
'PGET-I_SALEM_48_01Steam'       3
'PGET-I_SEARS_55_41Hydro'       25
'PGET-I_SHERMAN_61_41Hydro'     25
'PGET-I_S_BROADW_52_41Hydro'    1
'PGET-I_VERNON_93_41Hydro'      25
'PGET-I_WARD_HIL_22_04Steam'    1
'PGET-I_WARD_HIL_42_04Steam'    1
'PGET-I_WILDER_14_41Hydro'      25
'PPHC_ADMIRAL_26_99Steam'       0.3
'PPHC_CDEC_21_51CC'     0.5
'SEI-I_BULLSBDG_58_41Hydro'     0.5
'SEI-I_COBBLEMT_75_41Hydro'     33
'SEI-I_FALSVL_8_41Hydro'        0.5
'SEI-I_MONTAGUE_1_41Hydro'      25
'SEI-I_MONTAGUE_2_41Hydro'      6
'SEI-I_MT_TOM_93_01Steam'       1.15
'SEI-I_NORTHFLD_6_27CT' 30
'SEI-I_NORTHFLD_7_27CT' 30
'SEI-I_NORTHFLD_8_27CT' 30
'SEI-I_NORTHFLD_9_27CT' 30
'SEI-I_ROCKY_RV_1_51CC' 1
'SEI-I_ROCKY_RV_32_41Hydro'     0.5
'SEI-I_SHEPAUG_60_41Hydro'      4.3
'SEI-I_STEVENSN_81_41Hydro'     0.7
'SEI-I_S_MEADOW_66_22CT'        5
'SEI-I_S_MEADOW_67_22CT'        5
'SEI-I_S_MEADOW_68_22CT'        5
'SEI-I_S_MEADOW_69_22CT'        5
'SEI-I_TUNNEL_90_22CT'  3
'SETC-I_LENERGIA_56_98Steam'    1
'SETC-I_MEABROOK_76_96CT'       1
'SITH-I_EDGAR_64_99Steam'       15
'SITH-I_FRAMNGHM_13_22CT'       3
'SITH-I_FRAMNGHM_14_22CT'       3
'SITH-I_FRAMNGHM_15_22CT'       3
'SITH-I_K_STREET_61_22CT'       5
'SITH-I_MYSTIC_2_22CT'  3
'SITH-I_MYSTIC_3_98Steam'       4
'SITH-I_MYSTIC_4_99Steam'       15
'SITH-I_MYSTIC_63_99Steam'      15
'SITH-I_W_MEDWAY_19_96CT'       12
'SITH-I_W_MEDWAY_20_96CT'       12
'TCPM-I_KIBBY_1_61Wind' 3
'TCPM-I_OCEAN_ST_23_99Steam'    5
'TCPM-I_OCEAN_ST_24_99Steam'    5
'TMLP-I_CLEARY_71_96CT' 2
'TMLP-I_CLEARY_72_01Steam'      1
'UICO-I_BPT_RESC_46_04Steam'    2
'UTIL-I_BELLNGHM_2_98Steam'     12
'UTIL-I_MBTA_67_22CT'   6
'UTIL-I_SHAWINGN_92_98Steam'    3
'VLCO-I_ASCUTNEY_26_22CT'       1.5
'VLCO-I_BERLINVT_33_22CT'       10
'VLCO-I_BERLINVT_63_41Hydro'    1
'VLCO-I_ESSEX_10_41Hydro'       0.6
'VLCO-I_ESSEX_22_31Diesel'      2
'VLCO-I_ESSEX_6_41Hydro'        1.6
'VLCO-I_ESSEX_69_98Steam'       0.4
'VLCO-I_ESSEX_9_31Diesel'       0.4
'VLCO-I_E_FAIRFX_66_41Hydro'    0.3
'VLCO-I_FLORNCE_11_22CT'        0.4
'VLCO-I_FLORNCE_12_22CT'        0.4
'VLCO-I_FLORNCE_36_41Hydro'     0.7
'VLCO-I_FLORNCE_6_41Hydro'      0.6
'VLCO-I_FLORNCE_8_41Hydro'      5.4
'VLCO-I_HIGHGATE_75_41Hydro'    1
'VLCO-I_MIDDLESX_43_41Hydro'    1
'VLCO-I_MIDDLESX_71_41Hydro'    0.7
'VLCO-I_MIDDLESX_8_41Hydro'     1
'VLCO-I_MIDLEBRY_67_41Hydro'    0.1
'VLCO-I_NEW_HAVN_11_41Hydro'    0.4
'VLCO-I_NEW_HAVN_92_31Diesel'   2
'VLCO-I_N_RUTLND_44_22CT'       1.5
'VLCO-I_N_RUTLND_68_41Hydro'    0.1
'VLCO-I_QUEENCTY_59_22CT'       2
'VLCO-I_VT_YK_5_12Nuclear'      5
'VPPSA_HIGHGATE_1_31Diesel'     3.5
'VPPSA_HIGHGATE_2_31Diesel'     3.5
'WVCT-I_BRIDGEPT_36_01Steam'    2
'WVCT-I_BRIDGEPT_37_01Steam'    3
'WVCT-I_BRIDGEPT_38_22CT'       16
'WVCT-I_E_SHORE_8_98Steam'      5
BSW1P        9999
BSW2P        9999
NFD1P        30
NFD2P        30
NFD3P        30
NFD4P        30
ROCKP        1
/;
